Constant, Value, Description
IMAGE_REL_I386_ABSOLUTE, 0x0000, "This relocation is ignored."
IMAGE_REL_I386_DIR16, 0x0001, "Not supported."
IMAGE_REL_I386_REL16, 0x0002, "Not supported."
IMAGE_REL_I386_DIR32, 0x0006, "The target's 32-bit virtual address."
IMAGE_REL_I386_DIR32NB, 0x0007, "The target's 32-bit relative virtual address."
IMAGE_REL_I386_SEG12, 0x0009, "Not supported."
IMAGE_REL_I386_SECTION, 0x000A, "The 16-bit-section index of the section containing the target. This is used to support debugging information."
IMAGE_REL_I386_SECREL, 0x000B, "The 32-bit offset of the target from the beginning of its section. This is used to support debugging information as well as static thread local storage."
IMAGE_REL_I386_REL32, 0x0014, "The 32-bit relative displacement to the target. This supports the x86 relative branch and call instructions."
